seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scaffold_001	27244	27244	+	1	10	1	1	0	2	1	NA
scaffold_001	87329	87329	+	1	6	1	1	0	2	1	NA
scaffold_001	148484	148484	+	1	9	1	1	0	2	1	NA
scaffold_001	153138	153138	+	1	5	1	1	0	2	1	NA
scaffold_001	162807	162807	+	1	6	1	1	0	2	1	PPRIMP00073
scaffold_001	179095	179117	+	4	70	0.44	23	-0.41	0.13	0.07	PPRIMP00085
scaffold_001	179147	179147	+	1	14	1	1	0	2	1	PPRIMP00085
scaffold_001	179187	179187	+	1	5	1	1	0	2	1	PPRIMP00085
scaffold_001	179231	179253	+	2	38	0.61	23	2.32	1.03	0.03	PPRIMP00085
scaffold_001	179337	179337	+	1	5	1	1	0	2	1	NA
scaffold_001	179499	179512	+	2	14	0.64	14	1.86	1.06	0.06	NA
scaffold_001	179574	179593	+	2	17	0.71	20	3.91	1.13	0.13	NA
scaffold_001	179638	179679	+	5	52	0.4	42	-5.12	-0.14	0.08	NA
scaffold_001	179749	179771	+	2	23	0.61	23	-2.39	1.03	0.03	NA
scaffold_001	192704	192704	+	1	7	1	1	0	2	1	NA
scaffold_001	195602	195602	+	1	6	1	1	0	2	1	NA
scaffold_001	217738	217738	+	1	13	1	1	0	2	1	NA
scaffold_001	218602	218602	+	1	6	1	1	0	2	1	NA
scaffold_001	218771	218771	+	1	7	1	1	0	2	1	NA
scaffold_001	230205	230205	+	1	5	1	1	0	2	1	NA
scaffold_001	230394	230394	+	1	6	1	1	0	2	1	NA
scaffold_001	272550	272550	+	1	5	1	1	0	2	1	PPRIMP00125
scaffold_001	295849	295849	+	1	5	1	1	0	2	1	NA
scaffold_001	310402	310402	+	1	5	1	1	0	2	1	PPRIMP00148
scaffold_001	322620	322620	+	1	5	1	1	0	2	1	NA
scaffold_001	377994	377994	+	1	5	1	1	0	2	1	PPRIMP00187
scaffold_001	385140	385146	+	3	138	0.51	7	0.99	0.81	0.25	PPRIMP00192
scaffold_001	385309	385328	+	2	15	0.67	20	3.17	1.08	0.08	PPRIMP00192
scaffold_001	385379	385379	+	1	6	1	1	0	2	1	NA
scaffold_001	385480	385501	+	3	25	0.52	22	-3.5	0.53	0.07	NA
scaffold_001	385538	385538	+	1	7	1	1	0	2	1	NA
scaffold_001	385661	385661	+	1	6	1	1	0	2	1	NA
scaffold_001	421244	421244	+	1	9	1	1	0	2	1	NA
scaffold_001	457639	457641	+	2	27	0.52	3	0.04	1	0	PPRIMP00231
scaffold_001	477876	477876	+	1	8	1	1	0	2	1	PPRIMP00241
scaffold_001	478156	478156	+	1	6	1	1	0	2	1	NA
scaffold_001	492457	492459	+	2	21	0.57	3	0.14	1.01	0.01	PPRIMP00247
scaffold_001	492484	492484	+	1	35	1	1	0	2	1	PPRIMP00247
scaffold_001	492650	492650	+	1	5	1	1	0	2	1	NA
scaffold_001	514566	514566	+	1	7	1	1	0	2	1	NA
scaffold_001	548512	548516	+	2	149	0.91	5	-1.62	1.55	0.55	PPRIMP00282
scaffold_001	548609	548609	+	1	23	1	1	0	2	1	PPRIMP00282
scaffold_001	548667	548667	+	1	6	1	1	0	2	1	PPRIMP00282
scaffold_001	548741	548741	+	1	25	1	1	0	2	1	NA
scaffold_001	556424	556432	+	2	12	0.58	9	-0.67	1.02	0.02	NA
scaffold_001	558556	558556	+	1	7	1	1	0	2	1	NA
scaffold_001	558660	558660	+	1	7	1	1	0	2	1	NA
scaffold_001	566702	566702	+	1	7	1	1	0	2	1	NA
scaffold_001	619483	619483	+	1	5	1	1	0	2	1	PPRIMP00320
scaffold_001	619619	619619	+	1	11	1	1	0	2	1	PPRIMP00320
scaffold_001	630265	630265	+	1	27	1	1	0	2	1	PPRIMP00329
scaffold_001	744992	744992	+	1	9	1	1	0	2	1	NA
scaffold_001	747980	747980	+	1	5	1	1	0	2	1	PPRIMP00374
scaffold_001	753579	753582	+	2	16	0.5	4	0	1	0	PPRIMP00378
scaffold_001	774597	774597	+	1	5	1	1	0	2	1	NA
scaffold_001	815805	815809	+	3	163	0.91	5	1.67	1.47	0.66	PPRIMP00414
scaffold_001	909082	909082	+	1	5	1	1	0	2	1	NA
scaffold_001	909214	909214	+	1	5	1	1	0	2	1	NA
scaffold_001	912532	912532	+	1	6	1	1	0	2	1	PPRIMP00461
scaffold_001	914620	914620	+	1	5	1	1	0	2	1	NA
scaffold_001	916693	916693	+	1	6	1	1	0	2	1	NA
scaffold_001	953834	953834	+	1	14	1	1	0	2	1	PPRIMP00479
scaffold_001	954086	954086	+	1	7	1	1	0	2	1	NA
scaffold_001	954209	954209	+	1	5	1	1	0	2	1	NA
scaffold_001	954460	954460	+	1	10	1	1	0	2	1	NA
