seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scaffold_0001	96733	96737	+	2	7	0.57	5	-0.29	1.01	0.01	PJENN.M.1.G00010057
scaffold_0001	107130	107148	+	3	21	0.48	19	-1.57	0.51	0.06	PJENN.M.1.G00010061
scaffold_0001	111544	111544	+	1	3	1	1	0	2	1	PJENN.M.1.G00010065
scaffold_0001	111863	111863	+	1	3	1	1	0	2	1	NA
scaffold_0001	112398	112398	+	1	4	1	1	0	2	1	NA
scaffold_0001	125472	125479	+	2	16	0.69	8	-1.31	1.1	0.1	PJENN.M.1.G00010075
scaffold_0001	125635	125635	+	1	3	1	1	0	2	1	NA
scaffold_0001	125674	125674	+	1	3	1	1	0	2	1	NA
scaffold_0001	125772	125772	+	1	7	1	1	0	2	1	NA
scaffold_0001	131649	131649	+	1	4	1	1	0	2	1	PJENN.M.1.G00010079
scaffold_0001	137042	137061	+	4	46	0.46	20	-5.17	0.39	0.2	PJENN.M.1.G00010082
scaffold_0001	139163	139181	+	2	8	0.5	19	0	1	0	PJENN.M.1.G00010083
scaffold_0001	165702	165702	+	1	50	1	1	0	2	1	PJENN.M.1.G00010103
scaffold_0001	182155	182155	+	1	3	1	1	0	2	1	NA
scaffold_0001	182617	182617	+	1	4	1	1	0	2	1	NA
scaffold_0001	184687	184687	+	1	6	1	1	0	2	1	NA
scaffold_0001	210080	210089	+	5	213	0.47	10	-2.2	0.62	0.4	PJENN.M.1.G00010122
scaffold_0001	210318	210342	+	2	6	0.5	25	0	1	0	NA
scaffold_0001	224083	224083	+	1	3	1	1	0	2	1	PJENN.M.1.G00010129
scaffold_0001	231210	231210	+	1	3	1	1	0	2	1	PJENN.M.1.G00010136
scaffold_0001	246236	246236	+	1	8	1	1	0	2	1	PJENN.M.1.G00010146
scaffold_0001	257047	257047	+	1	3	1	1	0	2	1	PJENN.M.1.G00010152
scaffold_0001	260399	260399	+	1	3	1	1	0	2	1	NA
scaffold_0001	263847	263860	+	5	151	0.51	14	-1.87	0.24	0.24	PJENN.M.1.G00010156
scaffold_0001	298534	298534	+	1	4	1	1	0	2	1	NA
scaffold_0001	308684	308684	+	1	5	1	1	0	2	1	PJENN.M.1.G00010181
scaffold_0001	308788	308788	+	1	3	1	1	0	2	1	NA
scaffold_0001	338232	338262	+	6	75	0.49	31	1.05	0.06	0.25	PJENN.M.1.G00010202
scaffold_0001	367328	367404	+	17	701	0.51	77	-25.34	-0.29	0.44	PJENN.M.1.G00010219
scaffold_0001	367429	367466	+	3	29	0.62	38	8.88	0.72	0.19	PJENN.M.1.G00010219
scaffold_0001	367527	367527	+	1	4	1	1	0	2	1	NA
scaffold_0001	371141	371156	+	5	38	0.45	16	1.87	-0.06	0.11	PJENN.M.1.G00010222
scaffold_0001	409327	409327	+	1	9	1	1	0	2	1	PJENN.M.1.G00010241
scaffold_0001	412321	412333	+	5	55	0.65	13	-3.53	0.39	0.31	PJENN.M.1.G00010244
scaffold_0001	429141	429141	+	1	5	1	1	0	2	1	NA
scaffold_0001	429262	429262	+	1	4	1	1	0	2	1	NA
scaffold_0001	461064	461064	+	1	13	1	1	0	2	1	PJENN.M.1.G00010275
scaffold_0001	461144	461144	+	1	5	1	1	0	2	1	PJENN.M.1.G00010275
scaffold_0001	508445	508445	+	1	4	1	1	0	2	1	PJENN.M.1.G00010305
scaffold_0001	516125	516167	+	10	348	0.55	43	5.83	0.21	0.46	PJENN.M.1.G00010311
scaffold_0001	518605	518605	+	1	7	1	1	0	2	1	PJENN.M.1.G00010316
scaffold_0001	524757	524757	+	1	3	1	1	0	2	1	PJENN.M.1.G00010320
scaffold_0001	532904	532904	+	1	3	1	1	0	2	1	NA
scaffold_0001	538953	538953	+	1	3	1	1	0	2	1	PJENN.M.1.G00010330
scaffold_0001	564878	564884	+	3	79	0.91	7	1.78	1.48	0.67	PJENN.M.1.G00010342
