seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scf7180000276652	43779	43779	+	1	5	1	1	0	2	1	POCT.K8.1.G71800002766520022
scf7180000276655	39842	39862	+	4	99	0.37	21	-3.49	0.1	0.05	POCT.K8.1.G71800002766550017
scf7180000276655	57737	57747	+	2	21	0.52	11	-0.24	1	0	POCT.K8.1.G71800002766550030
scf7180000276655	97074	97083	+	2	140	0.88	10	-3.41	1.47	0.47	POCT.K8.1.G71800002766550051
scf7180000276655	108896	108896	+	1	7	1	1	0	2	1	NA
scf7180000276655	108957	108957	+	1	5	1	1	0	2	1	NA
scf7180000276655	136489	136489	+	1	5	1	1	0	2	1	POCT.K8.1.G71800002766550069
scf7180000276655	144162	144162	+	1	6	1	1	0	2	1	POCT.K8.1.G71800002766550074
scf7180000276655	147591	147595	+	2	20	0.75	5	-1	1.19	0.19	POCT.K8.1.G71800002766550077
scf7180000276655	156248	156248	+	1	8	1	1	0	2	1	POCT.K8.1.G71800002766550084
scf7180000276655	157873	157876	+	2	21	0.52	4	-0.07	1	0	POCT.K8.1.G71800002766550085
scf7180000276655	166559	166559	+	1	5	1	1	0	2	1	POCT.K8.1.G71800002766550092
scf7180000276655	191609	191609	+	1	43	1	1	0	2	1	NA
scf7180000276655	203561	203561	+	1	5	1	1	0	2	1	POCT.K8.1.G71800002766550115
scf7180000276655	215176	215176	+	1	5	1	1	0	2	1	NA
scf7180000276655	222587	222601	+	5	95	0.36	15	0.43	0.01	0.14	POCT.K8.1.G71800002766550128
scf7180000276655	252740	252749	+	2	19	0.68	10	-1.66	1.1	0.1	POCT.K8.1.G71800002766550141
scf7180000276655	257402	257407	+	2	10	0.5	6	0	1	0	POCT.K8.1.G71800002766550144
scf7180000276655	258009	258009	+	1	10	1	1	0	2	1	POCT.K8.1.G71800002766550145
scf7180000276655	259576	259579	+	2	33	0.79	4	0.86	1.25	0.25	POCT.K8.1.G71800002766550146
