seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scaffold_0001	8342	8397	+	7	142	0.44	56	-14.89	-0.07	0.26	PDODEC.274.1.P00010003
scaffold_0001	8442	8514	+	7	80	0.41	73	13.34	-0.47	0.12	PDODEC.274.1.P00010003
scaffold_0001	8563	8644	+	10	269	0.62	82	-22.02	-0.09	0.37	NA
scaffold_0001	8707	9077	+	45	842	0.13	371	-66.73	-3.04	0.08	NA
scaffold_0001	9140	9214	+	10	158	0.35	75	-10.68	-0.73	0.18	NA
scaffold_0001	9271	9271	+	1	6	1	1	0	2	1	NA
scaffold_0001	9319	9319	+	1	5	1	1	0	2	1	NA
scaffold_0001	53714	53714	+	1	5	1	1	0	2	1	NA
scaffold_0001	57955	57955	+	1	12	1	1	0	2	1	PDODEC.274.1.P00010033
scaffold_0001	89633	89633	+	1	7	1	1	0	2	1	NA
scaffold_0001	95826	95826	+	1	5	1	1	0	2	1	NA
scaffold_0001	113378	113378	+	1	6	1	1	0	2	1	PDODEC.274.1.P00010073
scaffold_0001	113514	113514	+	1	7	1	1	0	2	1	NA
scaffold_0001	113674	113685	+	3	22	0.45	12	-0.23	0.46	0.03	NA
scaffold_0001	113740	113740	+	1	7	1	1	0	2	1	NA
scaffold_0001	113790	113807	+	2	15	0.53	18	0.57	1	0	NA
scaffold_0001	113867	113867	+	1	6	1	1	0	2	1	NA
scaffold_0001	113931	113931	+	1	6	1	1	0	2	1	NA
scaffold_0001	113997	113997	+	1	15	1	1	0	2	1	NA
scaffold_0001	114102	114102	+	1	8	1	1	0	2	1	NA
scaffold_0001	114188	114188	+	1	6	1	1	0	2	1	NA
scaffold_0001	115746	115746	+	1	5	1	1	0	2	1	NA
scaffold_0001	161025	161025	+	1	5	1	1	0	2	1	NA
scaffold_0001	166608	166608	+	1	6	1	1	0	2	1	PDODEC.274.1.P00010101
scaffold_0001	178414	178414	+	1	5	1	1	0	2	1	NA
scaffold_0001	178638	178667	+	3	16	0.38	30	-3	0.42	0	NA
scaffold_0001	260550	260550	+	1	11	1	1	0	2	1	PDODEC.274.1.P00010169
scaffold_0001	321242	321242	+	1	5	1	1	0	2	1	PDODEC.274.1.P00010201
scaffold_0001	328931	328931	+	1	6	1	1	0	2	1	NA
scaffold_0001	339608	339608	+	1	5	1	1	0	2	1	NA
scaffold_0001	381113	381128	+	3	27	0.41	16	0.83	0.49	0.05	PDODEC.274.1.P00010231
scaffold_0001	387182	387183	+	2	30	0.83	2	-0.33	1.35	0.35	PDODEC.274.1.P00010237
scaffold_0001	388404	388404	+	1	5	1	1	0	2	1	NA
scaffold_0001	388743	388743	+	1	5	1	1	0	2	1	NA
scaffold_0001	393991	393991	+	1	5	1	1	0	2	1	NA
scaffold_0001	397061	397061	+	1	8	1	1	0	2	1	NA
scaffold_0001	416864	416864	+	1	5	1	1	0	2	1	NA
scaffold_0001	451497	451497	+	1	5	1	1	0	2	1	NA
scaffold_0001	476495	476495	+	1	8	1	1	0	2	1	PDODEC.274.1.P00010289
scaffold_0001	476567	476567	+	1	5	1	1	0	2	1	PDODEC.274.1.P00010289
scaffold_0001	482604	482604	+	1	6	1	1	0	2	1	PDODEC.274.1.P00010294
scaffold_0001	499238	499240	+	2	60	0.92	3	-0.83	1.59	0.59	PDODEC.274.1.P00010306
scaffold_0001	499398	499398	+	1	6	1	1	0	2	1	NA
scaffold_0001	504426	504426	+	1	5	1	1	0	2	1	NA
scaffold_0001	505940	505940	+	1	5	1	1	0	2	1	NA
scaffold_0001	553493	553493	+	1	8	1	1	0	2	1	NA
scaffold_0001	568260	568260	+	1	8	1	1	0	2	1	PDODEC.274.1.P00010341
scaffold_0001	568859	568859	+	1	6	1	1	0	2	1	NA
scaffold_0001	67790	67790	-	1	12	1	1	0	2	1	PDODEC.274.1.P00010041
scaffold_0001	69813	69813	-	1	6	1	1	0	2	1	NA
scaffold_0001	77036	77036	-	1	5	1	1	0	2	1	PDODEC.274.1.P00010046
scaffold_0001	88787	88787	-	1	6	1	1	0	2	1	NA
scaffold_0001	88829	88829	-	1	6	1	1	0	2	1	NA
scaffold_0001	88956	88956	-	1	6	1	1	0	2	1	NA
scaffold_0001	92712	92712	-	1	14	1	1	0	2	1	NA
scaffold_0001	92957	92986	-	2	16	0.5	30	0	1	0	NA
scaffold_0001	93040	93055	-	3	20	0.5	16	-2.25	0.5	0.05	NA
scaffold_0001	93102	93109	-	2	10	0.5	8	0	1	0	NA
scaffold_0001	109055	109069	-	2	14	0.64	15	-2	1.06	0.06	PDODEC.274.1.P00010069
scaffold_0001	109168	109168	-	1	6	1	1	0	2	1	PDODEC.274.1.P00010069
scaffold_0001	129180	129180	-	1	5	1	1	0	2	1	NA
scaffold_0001	135864	135875	-	2	34	0.79	12	3.24	1.27	0.27	PDODEC.274.1.P00010082
scaffold_0001	156285	156285	-	1	11	1	1	0	2	1	PDODEC.274.1.P00010093
scaffold_0001	177600	177616	-	6	908	0.88	17	3.78	1.24	0.71	PDODEC.274.1.P00010108
scaffold_0001	181672	181706	-	3	43	0.4	35	7.51	0.44	0.01	PDODEC.274.1.P00010111
scaffold_0001	182730	182730	-	1	8	1	1	0	2	1	NA
scaffold_0001	182887	182887	-	1	7	1	1	0	2	1	NA
scaffold_0001	185947	185950	-	3	109	0.5	4	0.56	0.51	0.06	NA
scaffold_0001	207054	207054	-	1	5	1	1	0	2	1	PDODEC.274.1.P00010130
scaffold_0001	230291	230335	-	5	59	0.42	45	-1.25	-0.09	0.1	NA
scaffold_0001	230392	230525	-	16	809	0.55	134	41.82	-0.43	0.39	PDODEC.274.1.P00010148
scaffold_0001	247667	247667	-	1	5	1	1	0	2	1	NA
scaffold_0001	247917	247917	-	1	11	1	1	0	2	1	PDODEC.274.1.P00010157
scaffold_0001	256330	256330	-	1	5	1	1	0	2	1	NA
scaffold_0001	264372	264372	-	1	7	1	1	0	2	1	PDODEC.274.1.P00010171
scaffold_0001	294452	294452	-	1	7	1	1	0	2	1	PDODEC.274.1.P00010191
scaffold_0001	349295	349296	-	2	14	0.64	2	0.14	1.06	0.06	PDODEC.274.1.P00010217
scaffold_0001	350637	350637	-	1	6	1	1	0	2	1	PDODEC.274.1.P00010218
scaffold_0001	356670	356670	-	1	5	1	1	0	2	1	NA
scaffold_0001	356836	356836	-	1	8	1	1	0	2	1	NA
scaffold_0001	376638	376638	-	1	5	1	1	0	2	1	NA
scaffold_0001	398344	398344	-	1	13	1	1	0	2	1	PDODEC.274.1.P00010241
scaffold_0001	407515	407515	-	1	5	1	1	0	2	1	PDODEC.274.1.P00010249
scaffold_0001	407588	407588	-	1	6	1	1	0	2	1	PDODEC.274.1.P00010249
scaffold_0001	461294	461351	-	4	26	0.31	58	3.46	0.02	0.01	PDODEC.274.1.P00010278
scaffold_0001	468048	468048	-	1	5	1	1	0	2	1	PDODEC.274.1.P00010283
scaffold_0001	489645	489654	-	2	50	0.74	10	-2.16	1.17	0.17	NA
scaffold_0001	498227	498227	-	1	6	1	1	0	2	1	NA
scaffold_0001	498670	498670	-	1	5	1	1	0	2	1	PDODEC.274.1.P00010304
scaffold_0001	538116	538116	-	1	6	1	1	0	2	1	NA
scaffold_0001	555111	555111	-	1	9	1	1	0	2	1	NA
scaffold_0001	555577	555577	-	1	5	1	1	0	2	1	NA
scaffold_0001	560088	560088	-	1	5	1	1	0	2	1	PDODEC.274.1.P00010337
scaffold_0001	602887	602887	-	1	156	1	1	0	2	1	PDODEC.274.1.P00010359
scaffold_0001	625651	625651	-	1	31	1	1	0	2	1	PDODEC.274.1.P00010373
scaffold_0001	638968	638968	-	1	5	1	1	0	2	1	NA
