seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scaffold_0001	3841	3841	+	1	8	1	1	0	2	1	PNOV.TE.1.P00010001
scaffold_0001	4567	4569	+	2	7	0.57	3	-0.14	1.01	0.01	PNOV.TE.1.P00010002
scaffold_0001	25601	25601	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010017
scaffold_0001	29206	29219	+	4	104	0.5	14	4.8	0.34	0.17	PNOV.TE.1.P00010019
scaffold_0001	32412	32412	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010023
scaffold_0001	87779	87779	+	1	3	1	1	0	2	1	NA
scaffold_0001	87835	87835	+	1	4	1	1	0	2	1	NA
scaffold_0001	87865	87865	+	1	6	1	1	0	2	1	NA
scaffold_0001	99787	99813	+	6	165	0.88	27	-8.4	1.2	0.69	PNOV.TE.1.P00010074
scaffold_0001	100095	100095	+	1	5	1	1	0	2	1	NA
scaffold_0001	118095	118105	+	3	69	0.68	11	0.54	0.78	0.23	PNOV.TE.1.P00010078
scaffold_0001	118469	118469	+	1	3	1	1	0	2	1	NA
scaffold_0001	131424	131424	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010086
scaffold_0001	133020	133027	+	3	9	0.33	8	0.17	0.42	0	PNOV.TE.1.P00010087
scaffold_0001	142496	142496	+	1	7	1	1	0	2	1	PNOV.TE.1.P00010093
scaffold_0001	184572	184572	+	1	8	1	1	0	2	1	PNOV.TE.1.P00010108
scaffold_0001	220378	220378	+	1	12	1	1	0	2	1	PNOV.TE.1.P00010119
scaffold_0001	220746	220746	+	1	4	1	1	0	2	1	NA
scaffold_0001	222242	222249	+	2	7	0.57	8	0.5	1.01	0.01	NA
scaffold_0001	236062	236069	+	2	6	0.5	8	0	1	0	PNOV.TE.1.P00010128
scaffold_0001	241203	241203	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010131
scaffold_0001	246628	246629	+	2	9	0.56	2	0.06	1.01	0.01	PNOV.TE.1.P00010136
scaffold_0001	251090	251090	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010138
scaffold_0001	252036	252038	+	2	40	0.65	3	0.3	1.07	0.07	PNOV.TE.1.P00010140
scaffold_0001	271862	271862	+	1	3	1	1	0	2	1	NA
scaffold_0001	289184	289184	+	1	3	1	1	0	2	1	NA
scaffold_0001	290655	290658	+	3	245	0.82	4	0.99	1.22	0.51	PNOV.TE.1.P00010153
scaffold_0001	299381	299390	+	3	117	0.92	10	-3.27	1.53	0.71	PNOV.TE.1.P00010159
scaffold_0001	299631	299631	+	1	3	1	1	0	2	1	NA
scaffold_0001	307469	307470	+	2	9	0.67	2	0.17	1.08	0.08	PNOV.TE.1.P00010163
scaffold_0001	308707	308709	+	2	10	0.6	3	-0.2	1.03	0.03	PNOV.TE.1.P00010164
scaffold_0001	314391	314420	+	19	1203	0.31	30	-0.84	-1.06	0.28	PNOV.TE.1.P00010168
scaffold_0001	314452	314453	+	2	8	0.62	2	0.12	1.05	0.05	PNOV.TE.1.P00010168
scaffold_0001	314594	314594	+	1	3	1	1	0	2	1	NA
scaffold_0001	314687	314687	+	1	3	1	1	0	2	1	NA
scaffold_0001	314732	314732	+	1	3	1	1	0	2	1	NA
scaffold_0001	318375	318375	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010171
scaffold_0001	331653	331653	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010178
scaffold_0001	337300	337323	+	6	39	0.41	24	1.58	-0.25	0.13	PNOV.TE.1.P00010181
scaffold_0001	340731	340739	+	3	17	0.65	9	2.06	0.71	0.19	PNOV.TE.1.P00010182
scaffold_0001	364195	364201	+	2	100	0.92	7	-2.52	1.6	0.6	PNOV.TE.1.P00010192
scaffold_0001	379408	379408	+	1	5	1	1	0	2	1	PNOV.TE.1.P00010200
scaffold_0001	395162	395162	+	1	15	1	1	0	2	1	PNOV.TE.1.P00010210
scaffold_0001	395240	395240	+	1	4	1	1	0	2	1	PNOV.TE.1.P00010210
scaffold_0001	395280	395283	+	2	66	0.8	4	-0.91	1.28	0.28	PNOV.TE.1.P00010210
scaffold_0001	397927	397927	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010212
scaffold_0001	412981	412981	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010221
scaffold_0001	413195	413256	+	32	12285	0.85	62	-18.75	0.98	0.8	PNOV.TE.1.P00010221
scaffold_0001	414047	414077	+	12	480	0.69	31	6.51	0.16	0.49	PNOV.TE.1.P00010222
scaffold_0001	414120	414120	+	1	4	1	1	0	2	1	PNOV.TE.1.P00010222
scaffold_0001	433886	433902	+	4	20	0.35	17	0.4	0.06	0.03	PNOV.TE.1.P00010235
scaffold_0001	437863	437871	+	4	30	0.57	9	-1.83	0.38	0.19	PNOV.TE.1.P00010238
scaffold_0001	445891	445891	+	1	6	1	1	0	2	1	PNOV.TE.1.P00010243
scaffold_0001	458426	458426	+	1	3	1	1	0	2	1	NA
scaffold_0001	462798	462801	+	2	9	0.67	4	0.5	1.08	0.08	PNOV.TE.1.P00010251
scaffold_0001	472624	472635	+	2	25	0.88	12	-4.18	1.47	0.47	PNOV.TE.1.P00010259
scaffold_0001	476794	476794	+	1	4	1	1	0	2	1	PNOV.TE.1.P00010261
scaffold_0001	486295	486295	+	1	18	1	1	0	2	1	PNOV.TE.1.P00010266
scaffold_0001	493906	493927	+	9	531	0.86	22	4.81	1.03	0.7	PNOV.TE.1.P00010270
scaffold_0001	537962	537988	+	15	90	0.21	27	-1.98	-1.68	0.06	PNOV.TE.1.P00010294
scaffold_0001	538606	538607	+	2	11	0.64	2	0.14	1.05	0.05	NA
scaffold_0001	538754	538757	+	2	11	0.55	4	-0.14	1.01	0.01	NA
scaffold_0001	538880	538880	+	1	9	1	1	0	2	1	NA
scaffold_0001	538905	538919	+	2	17	0.76	15	-3.71	1.21	0.21	NA
scaffold_0001	553962	553962	+	1	3	1	1	0	2	1	PNOV.TE.1.P00010304
scaffold_0001	564656	564684	+	5	123	0.72	29	8.37	0.63	0.41	PNOV.TE.1.P00010312
scaffold_0001	16257	16276	-	2	6	0.5	20	0	1	0	PNOV.TE.1.P00010009
scaffold_0001	30546	30546	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010020
scaffold_0001	30579	30579	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010020
scaffold_0001	31623	31623	-	1	5	1	1	0	2	1	PNOV.TE.1.P00010021
scaffold_0001	32122	32122	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010022
scaffold_0001	32181	32181	-	1	5	1	1	0	2	1	PNOV.TE.1.P00010022
scaffold_0001	38167	38173	-	2	11	0.73	7	-1.36	1.15	0.15	PNOV.TE.1.P00010028
scaffold_0001	50042	50042	-	1	24	1	1	0	2	1	PNOV.TE.1.P00010037
scaffold_0001	58612	58634	-	7	225	0.44	23	0.04	0.07	0.31	PNOV.TE.1.P00010048
scaffold_0001	59304	59304	-	1	5	1	1	0	2	1	PNOV.TE.1.P00010049
scaffold_0001	67642	67651	-	2	16	0.81	10	-2.81	1.3	0.3	PNOV.TE.1.P00010053
scaffold_0001	70167	70167	-	1	7	1	1	0	2	1	PNOV.TE.1.P00010055
scaffold_0001	73802	73814	-	3	26	0.58	13	0	0.66	0.15	PNOV.TE.1.P00010058
scaffold_0001	75004	75007	-	2	24	0.83	4	-1	1.35	0.35	PNOV.TE.1.P00010060
scaffold_0001	175877	175877	-	1	5	1	1	0	2	1	PNOV.TE.1.P00010102
scaffold_0001	177363	177363	-	1	5	1	1	0	2	1	PNOV.TE.1.P00010103
scaffold_0001	179487	179487	-	1	4	1	1	0	2	1	PNOV.TE.1.P00010105
scaffold_0001	224354	224354	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010122
scaffold_0001	224402	224445	-	14	218	0.31	44	0.78	-1.12	0.18	PNOV.TE.1.P00010122
scaffold_0001	233932	233932	-	1	6	1	1	0	2	1	PNOV.TE.1.P00010126
scaffold_0001	234558	234561	-	2	6	0.5	4	0	1	0	PNOV.TE.1.P00010127
scaffold_0001	276521	276521	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010147
scaffold_0001	277983	277993	-	3	13	0.46	11	-1.15	0.47	0.04	PNOV.TE.1.P00010148
scaffold_0001	313886	313886	-	1	6	1	1	0	2	1	PNOV.TE.1.P00010166
scaffold_0001	359741	359741	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010188
scaffold_0001	363431	363435	-	2	14	0.64	5	-0.57	1.06	0.06	PNOV.TE.1.P00010190
scaffold_0001	386321	386321	-	1	3	1	1	0	2	1	PNOV.TE.1.P00010203
scaffold_0001	391438	391459	-	3	38	0.74	22	1.47	0.94	0.33	PNOV.TE.1.P00010206
scaffold_0001	419159	419159	-	1	3	1	1	0	2	1	NA
scaffold_0001	420001	420007	-	2	7	0.57	7	0.43	1.01	0.01	PNOV.TE.1.P00010225
scaffold_0001	423585	423585	-	1	4	1	1	0	2	1	PNOV.TE.1.P00010228
scaffold_0001	424048	424048	-	1	37	1	1	0	2	1	PNOV.TE.1.P00010229
scaffold_0001	436191	436196	-	3	97	0.79	6	1.96	1.12	0.44	PNOV.TE.1.P00010236
scaffold_0001	437738	437738	-	1	5	1	1	0	2	1	PNOV.TE.1.P00010237
scaffold_0001	479201	479201	-	1	8	1	1	0	2	1	NA
scaffold_0001	519186	519186	-	1	10	1	1	0	2	1	PNOV.TE.1.P00010279
scaffold_0001	523913	523917	-	2	67	0.84	5	1.34	1.36	0.36	PNOV.TE.1.P00010283
