seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scf7180000129079	4741	4746	+	2	26	0.73	6	-1.15	1.16	0.16	PTRED.209.2.P71800001290790002
scf7180000129079	15568	15568	+	1	6	1	1	0	2	1	NA
scf7180000129079	15645	15645	+	1	28	1	1	0	2	1	NA
scf7180000129079	17170	17170	+	1	54	1	1	0	2	1	NA
scf7180000129079	39803	39803	+	1	14	1	1	0	2	1	PTRED.209.2.P71800001290790022
scf7180000129079	44602	44602	+	1	13	1	1	0	2	1	NA
scf7180000129079	44697	44697	+	1	7	1	1	0	2	1	NA
scf7180000129079	44996	44996	+	1	23	1	1	0	2	1	PTRED.209.2.P71800001290790026
scf7180000129079	48275	48275	+	1	15	1	1	0	2	1	NA
scf7180000129079	53143	53143	+	1	27	1	1	0	2	1	NA
scf7180000129079	53185	53185	+	1	25	1	1	0	2	1	NA
scf7180000129079	53313	53313	+	1	5	1	1	0	2	1	NA
scf7180000129079	53431	53431	+	1	16	1	1	0	2	1	NA
scf7180000129079	53561	53561	+	1	18	1	1	0	2	1	NA
scf7180000129079	53608	53628	+	2	14	0.5	21	0	1	0	NA
scf7180000129079	53817	53817	+	1	6	1	1	0	2	1	NA
scf7180000129079	53966	53966	+	1	7	1	1	0	2	1	NA
scf7180000129079	54102	54102	+	1	14	1	1	0	2	1	NA
scf7180000129079	55626	55626	+	1	8	1	1	0	2	1	NA
scf7180000129079	55780	55780	+	1	28	1	1	0	2	1	NA
scf7180000129079	55991	56002	+	2	18	0.67	12	1.83	1.08	0.08	NA
scf7180000129079	57221	57232	+	2	66	0.59	12	1	1.02	0.02	PTRED.209.2.P71800001290790033
scf7180000129079	57400	57400	+	1	39	1	1	0	2	1	NA
scf7180000129079	57992	57992	+	1	6	1	1	0	2	1	PTRED.209.2.P71800001290790034
scf7180000129079	58132	58132	+	1	34	1	1	0	2	1	PTRED.209.2.P71800001290790034
scf7180000129079	58308	58308	+	1	10	1	1	0	2	1	NA
scf7180000129079	58679	58679	+	1	5	1	1	0	2	1	NA
scf7180000129079	83682	83682	+	1	7	1	1	0	2	1	NA
scf7180000129079	84207	84207	+	1	9	1	1	0	2	1	NA
scf7180000129079	84448	84557	+	11	484	0.47	110	-20.28	-0.51	0.27	NA
scf7180000129079	84608	84637	+	2	43	0.53	30	-1.01	1	0	NA
scf7180000129079	84712	84712	+	1	6	1	1	0	2	1	NA
scf7180000129079	84966	84966	+	1	9	1	1	0	2	1	NA
scf7180000129079	114887	114887	+	1	12	1	1	0	2	1	NA
scf7180000129079	115128	115128	+	1	19	1	1	0	2	1	NA
scf7180000129079	122918	122918	+	1	85	1	1	0	2	1	NA
scf7180000129079	122979	122979	+	1	9	1	1	0	2	1	NA
scf7180000129079	123249	123249	+	1	6	1	1	0	2	1	NA
