PDEC.223.1.P00010054	PJENN.M.1.P00330030,PJENN.M.1.P01930052	PNOV.TE.1.P01410040,PNOV.TE.1.P00360013	POCT.K8.1.P71800002769770160
PDEC.223.1.P00010075,PDEC.223.1.P00400116	PJENN.M.1.P00330008,PJENN.M.1.P01930076	PNOV.TE.1.P01410020,PNOV.TE.1.P00360036	POCT.K8.1.P71800002769770180,POCT.K8.1.P71800002769360118
PDEC.223.1.P00010079,PDEC.223.1.P00400112	PJENN.M.1.P00330004,PJENN.M.1.P01930081	PNOV.TE.1.P01410016,PNOV.TE.1.P00360039	POCT.K8.1.P71800002769770183,POCT.K8.1.P71800002769360121
PDEC.223.1.P00010079,PDEC.223.1.P00400112	PJENN.M.1.P00330004,PJENN.M.1.P01930081	PNOV.TE.1.P01410016,PNOV.TE.1.P00360039	POCT.K8.1.P71800002769770183,POCT.K8.1.P71800002769360121
PDEC.223.1.P00010081,PDEC.223.1.P00400108	PJENN.M.1.P00330002,PJENN.M.1.P01930084	PNOV.TE.1.P01410014,PNOV.TE.1.P00360044	POCT.K8.1.P71800002769770185,POCT.K8.1.P71800002769360127
PDEC.223.1.P00380099,PDEC.223.1.P00010295	PJENN.M.1.P01000034,NA	PNOV.TE.1.P06250005,PNOV.TE.1.P05460004	POCT.K8.1.P71800002770000364,POCT.K8.1.P71800002769880147
PDEC.223.1.P00380099,PDEC.223.1.P00010295	PJENN.M.1.P01000034,NA	PNOV.TE.1.P06250005,PNOV.TE.1.P05460004	POCT.K8.1.P71800002770000364,POCT.K8.1.P71800002769880147
PDEC.223.1.P00010323	PJENN.M.1.P01000056,NA	PNOV.TE.1.P03610018	POCT.K8.1.P71800002769880102
PDEC.223.1.P00380134,PDEC.223.1.P00010346	PJENN.M.1.P01000078,NA	PNOV.TE.1.P11210006,PNOV.TE.1.P08100007	POCT.K8.1.P71800002770000399,POCT.K8.1.P71800002769880078
PDEC.223.1.P00010004	PJENN.M.1.P00330079,NA	PNOV.TE.1.P03140002	POCT.K8.1.P71800002769770109
PDEC.223.1.P00010016	PJENN.M.1.P00330067,PJENN.M.1.P01930014	PNOV.TE.1.P03140014,PNOV.TE.1.P05800014	POCT.K8.1.P71800002769770121
PDEC.223.1.P00010074,PDEC.223.1.P00400117	PJENN.M.1.P00330009,PJENN.M.1.P01930074	PNOV.TE.1.P01410021,PNOV.TE.1.P00360035	POCT.K8.1.P71800002769770179,POCT.K8.1.P71800002769360117
PDEC.223.1.P00050306,PDEC.223.1.P00020039	PJENN.M.1.P00180164,PJENN.M.1.P00090024	PNOV.TE.1.P01440033,PNOV.TE.1.P03170010	POCT.K8.1.P71800002769730029,POCT.K8.1.P71800002770480313
PDEC.223.1.P00050268,PDEC.223.1.P00020074	PJENN.M.1.P00180125,PJENN.M.1.P00090068	PNOV.TE.1.P05100002,PNOV.TE.1.P00020282	POCT.K8.1.P71800002769730068,POCT.K8.1.P71800002770480282
PDEC.223.1.P00050174,PDEC.223.1.P00020142	PJENN.M.1.P00180042,PJENN.M.1.P00090149	PNOV.TE.1.P00040160,PNOV.TE.1.P00020213	POCT.K8.1.P71800002769730148,POCT.K8.1.P71800002770480216
PDEC.223.1.P04640015,PDEC.223.1.P00020223	PJENN.M.1.P00070151,PJENN.M.1.P00110139	PNOV.TE.1.P00640043,PNOV.TE.1.P00020133	POCT.K8.1.P71800002770170109,POCT.K8.1.P71800002770480135
PDEC.223.1.P01160027,PDEC.223.1.P00020257	PJENN.M.1.P00070118,PJENN.M.1.P00110110	PNOV.TE.1.P00640070,PNOV.TE.1.P00020102	POCT.K8.1.P71800002770170083
PDEC.223.1.P01160028,PDEC.223.1.P00020260	PJENN.M.1.P00070115,PJENN.M.1.P00110107	PNOV.TE.1.P00640071,PNOV.TE.1.P00020099	POCT.K8.1.P71800002770170082,POCT.K8.1.P71800002770480100
PDEC.223.1.P01160051,PDEC.223.1.P00020288	PJENN.M.1.P00070086,PJENN.M.1.P00110086	PNOV.TE.1.P00760024,PNOV.TE.1.P00020071	POCT.K8.1.P71800002770170063,POCT.K8.1.P71800002770480072
PDEC.223.1.P01160068,PDEC.223.1.P00020308	PJENN.M.1.P00070067,PJENN.M.1.P00110064	PNOV.TE.1.P00760040,PNOV.TE.1.P00020050	POCT.K8.1.P71800002770170048,POCT.K8.1.P71800002770480052
PDEC.223.1.P01160079,PDEC.223.1.P00020319	PJENN.M.1.P00070055,PJENN.M.1.P00110052	PNOV.TE.1.P00760051,PNOV.TE.1.P00020038	POCT.K8.1.P71800002770170037,POCT.K8.1.P71800002770480041
PDEC.223.1.P00020329	PJENN.M.1.P00070043,PJENN.M.1.P00110040	PNOV.TE.1.P00020028	POCT.K8.1.P71800002770480031
PDEC.223.1.P01160095,PDEC.223.1.P00020336	PJENN.M.1.P00070036,PJENN.M.1.P00110031	PNOV.TE.1.P00760064,PNOV.TE.1.P00020021	POCT.K8.1.P71800002770170023,POCT.K8.1.P71800002770480025
PDEC.223.1.P00050319,PDEC.223.1.P00020024	PJENN.M.1.P00090011	PNOV.TE.1.P01440019,PNOV.TE.1.P03170020	POCT.K8.1.P71800002769730018,POCT.K8.1.P71800002770480327
PDEC.223.1.P00050273,PDEC.223.1.P00020069	PJENN.M.1.P00180130,PJENN.M.1.P00090064	PNOV.TE.1.P05100005,PNOV.TE.1.P00020287	POCT.K8.1.P71800002769730064,POCT.K8.1.P71800002770480287
PDEC.223.1.P00050246,PDEC.223.1.P00020089	PJENN.M.1.P00180104,PJENN.M.1.P00090089	PNOV.TE.1.P00040219,PNOV.TE.1.P00020264	POCT.K8.1.P71800002770480267
PDEC.223.1.P00050246,PDEC.223.1.P00020089	PJENN.M.1.P00180104,PJENN.M.1.P00090089	PNOV.TE.1.P00040219,PNOV.TE.1.P00020264	POCT.K8.1.P71800002770480267
PDEC.223.1.P00050158,PDEC.223.1.P00020157	PJENN.M.1.P00180026,PJENN.M.1.P00090166	PNOV.TE.1.P00040144,PNOV.TE.1.P00020199	POCT.K8.1.P71800002769730164,POCT.K8.1.P71800002770480206
PDEC.223.1.P00050159,PDEC.223.1.P00020158	PJENN.M.1.P00090167	PNOV.TE.1.P00040143,PNOV.TE.1.P00020198	POCT.K8.1.P71800002769730163
PDEC.223.1.P00020190	PJENN.M.1.P00070196,PJENN.M.1.P00110175	PNOV.TE.1.P00020167	POCT.K8.1.P71800002770480171
PDEC.223.1.P00020217	PJENN.M.1.P00070155	PNOV.TE.1.P00020139	POCT.K8.1.P71800002770480142
PDEC.223.1.P01160010,PDEC.223.1.P00020237	PJENN.M.1.P00070137,PJENN.M.1.P00110129	PNOV.TE.1.P00640054,PNOV.TE.1.P00020120	POCT.K8.1.P71800002770170099,POCT.K8.1.P71800002770480121
PDEC.223.1.P00020295	PJENN.M.1.P00070078,PJENN.M.1.P00110078	PNOV.TE.1.P00020063	POCT.K8.1.P71800002770480065
PDEC.223.1.P01160065,PDEC.223.1.P00020304	PJENN.M.1.P00070070,PJENN.M.1.P00110067	PNOV.TE.1.P00760037,PNOV.TE.1.P00020054	POCT.K8.1.P71800002770170050,POCT.K8.1.P71800002770480056
PDEC.223.1.P00020307	PJENN.M.1.P00070068,PJENN.M.1.P00110065	PNOV.TE.1.P00020051	POCT.K8.1.P71800002770480053
PDEC.223.1.P01160094,PDEC.223.1.P00020335	PJENN.M.1.P00070037,PJENN.M.1.P00110032	PNOV.TE.1.P00760063,PNOV.TE.1.P00020022	POCT.K8.1.P71800002770170024,POCT.K8.1.P71800002770480026
PDEC.223.1.P00020353	PJENN.M.1.P00070022	PNOV.TE.1.P00020006	POCT.K8.1.P71800002770480011
PDEC.223.1.P01180119,PDEC.223.1.P00030005	PJENN.M.1.P00010122,PJENN.M.1.P00640119	PNOV.TE.1.P03470007,PNOV.TE.1.P04170006	POCT.K8.1.P71800002770080305,POCT.K8.1.P71800002770870310
PDEC.223.1.P01180072,PDEC.223.1.P00030055	PJENN.M.1.P00040270,PJENN.M.1.P00010173	PNOV.TE.1.P13680002,PNOV.TE.1.P09710003	POCT.K8.1.P71800002770080255,POCT.K8.1.P71800002770870265
PDEC.223.1.P01180069,PDEC.223.1.P00030059	PJENN.M.1.P00040267,PJENN.M.1.P00010177	PNOV.TE.1.P13680005,PNOV.TE.1.P09710007	POCT.K8.1.P71800002770080252,POCT.K8.1.P71800002770870259
PDEC.223.1.P01180065,PDEC.223.1.P00030063	PJENN.M.1.P00040261,PJENN.M.1.P00010182	PNOV.TE.1.P09190009,PNOV.TE.1.P09870009	POCT.K8.1.P71800002770080247,POCT.K8.1.P71800002770870254
PDEC.223.1.P01180052,PDEC.223.1.P00030077	PJENN.M.1.P00040248,PJENN.M.1.P00010195	PNOV.TE.1.P03310032,PNOV.TE.1.P01980052	POCT.K8.1.P71800002770080234,POCT.K8.1.P71800002770870243
PDEC.223.1.P01180032,PDEC.223.1.P00030103	PJENN.M.1.P00040223,PJENN.M.1.P00010219	PNOV.TE.1.P03310016,PNOV.TE.1.P01980026	POCT.K8.1.P71800002770080214,POCT.K8.1.P71800002770870217
PDEC.223.1.P01180032,PDEC.223.1.P00030103	PJENN.M.1.P00040223,PJENN.M.1.P00010219	PNOV.TE.1.P03310016,PNOV.TE.1.P01980026	POCT.K8.1.P71800002770080214,POCT.K8.1.P71800002770870217
PDEC.223.1.P01180034,PDEC.223.1.P00030106	PJENN.M.1.P00040220,PJENN.M.1.P00010222	PNOV.TE.1.P01980023	POCT.K8.1.P71800002770080216,POCT.K8.1.P71800002770870214
PDEC.223.1.P00030113	PJENN.M.1.P00010229	PNOV.TE.1.P01980016	POCT.K8.1.P71800002770870210
PDEC.223.1.P01180007,PDEC.223.1.P00030138	PJENN.M.1.P00010256	PNOV.TE.1.P08180007,PNOV.TE.1.P07910008	POCT.K8.1.P71800002770080190,POCT.K8.1.P71800002770870187
PDEC.223.1.P01280052,PDEC.223.1.P00030189	PJENN.M.1.P00040129,PJENN.M.1.P00010311	PNOV.TE.1.P06690021,PNOV.TE.1.P02640042	POCT.K8.1.P71800002770080136,POCT.K8.1.P71800002770870139
PDEC.223.1.P01280083,PDEC.223.1.P00030212	PJENN.M.1.P00040103,PJENN.M.1.P00010338	PNOV.TE.1.P03150019,PNOV.TE.1.P02640020	POCT.K8.1.P71800002770080106,POCT.K8.1.P71800002770870117
PDEC.223.1.P01280093,PDEC.223.1.P00030222	PJENN.M.1.P00040091,PJENN.M.1.P00010349	PNOV.TE.1.P03150009,PNOV.TE.1.P02640011	POCT.K8.1.P71800002770080090,POCT.K8.1.P71800002770870108
NA,PDEC.223.1.P00030259	PJENN.M.1.P00010375	NA,PNOV.TE.1.P04880025	POCT.K8.1.P71800002770870074
PDEC.223.1.P01590017,PDEC.223.1.P00030282	PJENN.M.1.P00040034,PJENN.M.1.P00010399	PNOV.TE.1.P02930010,PNOV.TE.1.P01380027	POCT.K8.1.P71800002770080046,POCT.K8.1.P71800002770870052
PDEC.223.1.P01590020,PDEC.223.1.P00030289	PJENN.M.1.P00040029,PJENN.M.1.P00010407	PNOV.TE.1.P02930013,PNOV.TE.1.P01380020	POCT.K8.1.P71800002770080043,POCT.K8.1.P71800002770870044
PDEC.223.1.P01590029,PDEC.223.1.P00030305	PJENN.M.1.P00040015	PNOV.TE.1.P02930026,PNOV.TE.1.P01380008	POCT.K8.1.P71800002770080034,POCT.K8.1.P71800002770870028
PDEC.223.1.P01180112,PDEC.223.1.P00030010	PJENN.M.1.P00010128,PJENN.M.1.P00640126	PNOV.TE.1.P03470014,PNOV.TE.1.P04170011	POCT.K8.1.P71800002770080297,POCT.K8.1.P71800002770870305
PDEC.223.1.P01180046,PDEC.223.1.P00030083	PJENN.M.1.P00040243,PJENN.M.1.P00010201	PNOV.TE.1.P03310027,PNOV.TE.1.P01980046	POCT.K8.1.P71800002770080228,POCT.K8.1.P71800002770870236
PDEC.223.1.P01180036,PDEC.223.1.P00030108	PJENN.M.1.P00040218,PJENN.M.1.P00010224	PNOV.TE.1.P03310018,PNOV.TE.1.P01980021	POCT.K8.1.P71800002770080218
