seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scaffold_0001	1852	1852	+	1	128	1	1	0	2	1	PDEC.223.1.P00010003
scaffold_0001	72083	72083	+	1	10	1	1	0	2	1	PDEC.223.1.P00010035
scaffold_0001	110294	110312	+	6	367	0.35	19	-2.05	-0.24	0.13	PDEC.223.1.P00010054
scaffold_0001	110516	110516	+	1	5	1	1	0	2	1	NA
scaffold_0001	142164	142178	+	4	66	0.52	15	-3.79	0.41	0.21	PDEC.223.1.P00010075
scaffold_0001	144679	144679	+	1	5	1	1	0	2	1	NA
scaffold_0001	144814	144814	+	1	5	1	1	0	2	1	NA
scaffold_0001	145065	145065	+	1	11	1	1	0	2	1	NA
scaffold_0001	146114	146114	+	1	5	1	1	0	2	1	NA
scaffold_0001	146597	146597	+	1	8	1	1	0	2	1	NA
scaffold_0001	146888	146888	+	1	5	1	1	0	2	1	NA
scaffold_0001	150412	150414	+	2	21	0.71	3	-0.43	1.14	0.14	PDEC.223.1.P00010079
scaffold_0001	150470	150470	+	1	26	1	1	0	2	1	PDEC.223.1.P00010079
scaffold_0001	154388	154406	+	2	10	0.5	19	0	1	0	PDEC.223.1.P00010081
scaffold_0001	155693	155693	+	1	11	1	1	0	2	1	PDEC.223.1.P00010082
scaffold_0001	166952	166952	+	1	5	1	1	0	2	1	NA
scaffold_0001	215563	215567	+	2	35	0.8	5	-1.2	1.28	0.28	PDEC.223.1.P00010117
scaffold_0001	215818	215818	+	1	11	1	1	0	2	1	NA
scaffold_0001	219889	219889	+	1	57	1	1	0	2	1	PDEC.223.1.P00010120
scaffold_0001	244413	244413	+	1	5	1	1	0	2	1	NA
scaffold_0001	388568	388568	+	1	15	1	1	0	2	1	PDEC.223.1.P00010202
scaffold_0001	390669	390714	+	3	36	0.69	46	-7.92	0.81	0.25	NA
scaffold_0001	390896	390896	+	1	24	1	1	0	2	1	NA
scaffold_0001	470889	470894	+	3	20	0.4	6	0.45	0.44	0.02	PDEC.223.1.P00010234
scaffold_0001	477505	477505	+	1	5	1	1	0	2	1	PDEC.223.1.P00010241
scaffold_0001	480572	480581	+	3	53	0.77	10	-0.99	1.01	0.37	PDEC.223.1.P00010243
scaffold_0001	489070	489128	+	11	1689	0.8	59	-9.25	0.8	0.65	PDEC.223.1.P00010248
scaffold_0001	558081	558081	+	1	5	1	1	0	2	1	NA
scaffold_0001	583867	583867	+	1	20	1	1	0	2	1	PDEC.223.1.P00010295
scaffold_0001	583934	583934	+	1	24	1	1	0	2	1	PDEC.223.1.P00010295
scaffold_0001	584053	584053	+	1	6	1	1	0	2	1	NA
scaffold_0001	629699	629699	+	1	38	1	1	0	2	1	PDEC.223.1.P00010322
scaffold_0001	630099	630099	+	1	6	1	1	0	2	1	NA
scaffold_0001	630594	630594	+	1	28	1	1	0	2	1	PDEC.223.1.P00010323
scaffold_0001	653764	653764	+	1	5	1	1	0	2	1	NA
scaffold_0001	665420	665426	+	2	20	0.7	7	1.2	1.12	0.12	PDEC.223.1.P00010346
scaffold_0001	670843	670846	+	2	34	0.71	4	0.62	1.13	0.13	PDEC.223.1.P00010350
scaffold_0001	676587	676587	+	1	10	1	1	0	2	1	PDEC.223.1.P00010353
scaffold_0001	676843	676843	+	1	5	1	1	0	2	1	NA
scaffold_0001	692526	692526	+	1	167	1	1	0	2	1	PDEC.223.1.P00010366
scaffold_0001	3530	3530	-	1	13	1	1	0	2	1	PDEC.223.1.P00010004
scaffold_0001	31410	31410	-	1	75	1	1	0	2	1	NA
scaffold_0001	31844	31844	-	1	34	1	1	0	2	1	PDEC.223.1.P00010016
scaffold_0001	32653	32669	-	2	37	0.86	17	5.84	1.43	0.43	NA
scaffold_0001	58825	58825	-	1	5	1	1	0	2	1	PDEC.223.1.P00010025
scaffold_0001	68442	68442	-	1	17	1	1	0	2	1	NA
scaffold_0001	68544	68544	-	1	20	1	1	0	2	1	NA
scaffold_0001	68602	68603	-	2	18	0.56	2	0.06	1.01	0.01	NA
scaffold_0001	69616	69616	-	1	11	1	1	0	2	1	NA
scaffold_0001	69875	69886	-	3	41	0.68	12	-2.7	0.78	0.23	PDEC.223.1.P00010032
scaffold_0001	115757	115757	-	1	5	1	1	0	2	1	NA
scaffold_0001	116074	116074	-	1	6	1	1	0	2	1	NA
scaffold_0001	123746	123749	-	2	40	0.68	4	-0.53	1.09	0.09	PDEC.223.1.P00010062
scaffold_0001	137969	137969	-	1	5	1	1	0	2	1	NA
scaffold_0001	141963	141977	-	2	14	0.64	15	-2	1.06	0.06	PDEC.223.1.P00010074
scaffold_0001	157464	157468	-	2	29	0.62	5	0.48	1.04	0.04	PDEC.223.1.P00010083
scaffold_0001	178307	178311	-	3	32	0.47	5	1	0.54	0.08	PDEC.223.1.P00010098
scaffold_0001	207680	207685	-	2	80	0.76	6	1.31	1.21	0.21	PDEC.223.1.P00010113
